key,value,description
collected,бързо се събра,
swiftly,,
tension,напрежение,
beef up,да се засили,
call off,да отменя,
detain,да задържа,
diffuse,да се разпръсне,
dismiss,за уволнение,
exert,да упражнявам,
hurl,да хвърля,
owe,дължа,
soar,да се издигне,fly or rise high in the air
touted,рекламиран; натравам,"attempt to sell (something), typically by pestering people in an aggressive or bold manner."
undermined,подкопани,
undertaken,предприети,
undeterred,неуверен,
unraveling,разплитане,
unrelenting,неумолим,
unwieldy,тромав,
villain,престъпник,
wane,,
whereabouts,местонахождение,
wind up,приключвам,an act of concluding or finishing something.
